,currency,impact,name,date,time
0,CNY,Non-Economic,Bank Holiday,2007-01-01,23:59:59
1,JPY,Non-Economic,Bank Holiday,2007-01-01,23:59:59
2,CNY,High Impact Expected,Manufacturing PMI,2007-01-01,02:00:00
3,CHF,Non-Economic,Bank Holiday,2007-01-01,23:59:59
7,GBP,Non-Economic,Bank Holiday,2007-01-01,23:59:59
8,CAD,Non-Economic,Bank Holiday,2007-01-01,23:59:59
9,USD,Non-Economic,Bank Holiday,2007-01-01,23:59:59
10,NZD,Non-Economic,Bank Holiday,2007-01-01,23:59:59
12,CNY,Non-Economic,Bank Holiday,2007-01-02,01:00:00
13,JPY,Non-Economic,Bank Holiday,2007-01-02,23:59:59
16,CHF,Non-Economic,Bank Holiday,2007-01-02,23:59:59
21,JPY,Non-Economic,Bank Holiday,2007-01-03,23:59:59
28,USD,High Impact Expected,ISM Manufacturing PMI,2007-01-03,16:00:00
32,USD,High Impact Expected,FOMC Meeting Minutes,2007-01-03,20:00:00
33,NZD,High Impact Expected,Trade Balance,2007-01-03,22:45:00
35,CHF,High Impact Expected,CPI m/m,2007-01-04,07:45:00
51,USD,High Impact Expected,ISM Services PMI,2007-01-04,16:00:00
52,USD,High Impact Expected,Pending Home Sales m/m,2007-01-04,16:00:00
57,GBP,High Impact Expected,Halifax HPI m/m,2007-01-05,09:00:00
63,CAD,High Impact Expected,Employment Change,2007-01-05,13:00:00
64,CAD,High Impact Expected,Unemployment Rate,2007-01-05,13:00:00
65,USD,High Impact Expected,Non-Farm Employment Change,2007-01-05,14:30:00
66,USD,High Impact Expected,Unemployment Rate,2007-01-05,14:30:00
68,CAD,High Impact Expected,Ivey PMI,2007-01-05,16:00:00
72,JPY,Non-Economic,Bank Holiday,2007-01-08,23:59:59
73,AUD,High Impact Expected,Building Approvals m/m,2007-01-08,01:30:00
78,CAD,High Impact Expected,BOC Business Outlook Survey,2007-01-08,16:30:00
82,AUD,High Impact Expected,Retail Sales m/m,2007-01-09,01:30:00
86,CAD,High Impact Expected,Housing Starts,2007-01-09,14:15:00
101,USD,High Impact Expected,Trade Balance,2007-01-10,14:30:00
106,AUD,High Impact Expected,Employment Change,2007-01-11,01:30:00
108,CNY,High Impact Expected,USD-Denominated Trade Balance,2007-01-11,02:35:00
111,GBP,High Impact Expected,Manufacturing Production m/m,2007-01-11,10:30:00
114,GBP,High Impact Expected,MPC Rate Statement,2007-01-11,13:00:00
115,GBP,High Impact Expected,Official Bank Rate,2007-01-11,13:00:00
118,EUR,High Impact Expected,ECB Press Conference,2007-01-11,14:30:00
128,USD,High Impact Expected,Core Retail Sales m/m,2007-01-12,14:30:00
129,USD,High Impact Expected,Retail Sales m/m,2007-01-12,14:30:00
